accession	accession.version	taxid	gi
GCF001956585	GCF001956585.1	139870	
GCF004124275	GCF004124275.1	196896	
GCF004122115	GCF004122115.1	225765	
GCA002083475	GCA002083475.1	230586	
GCF000340795	GCF000340795.1	233970	
GCA007121015	GCA007121015.1	182367	
GCF000372425	GCF000372425.1	187697	
GCF900411395	GCF900411395.1	205290	
GCF900089585	GCF900089585.1	177138	
GCA900548895	GCA900548895.1	236981	
GCF003480435	GCF003480435.1	166108	
GCF000698575	GCF000698575.1	170739	
GCF003426025	GCF003426025.1	211961	
GCF001610895	GCF001610895.1	233684	
GCF900634605	GCF900634605.1	206167	
GCF001592285	GCF001592285.1	163764	
GCA005843805	GCA005843805.1	230940	
GCA002294045	GCA002294045.1	225891	
GCA003532715	GCA003532715.1	201975	
GCF000170855	GCF000170855.1	174297	
GCA003513895	GCA003513895.1	226068	
GCA002311345	GCA002311345.1	190316	
GCF000271665	GCF000271665.2	229779	
GCF001577755	GCF001577755.1	199576	
GCA002067855	GCA002067855.1	222279	
GCF004028235	GCF004028235.1	193899	
GCF000332455	GCF000332455.1	188257	
GCF900115165	GCF900115165.1	239390	
GCA005799205	GCA005799205.1	168555	
GCF900101165	GCF900101165.1	211390	
GCF000832605	GCF000832605.1	126193	
GCA007119305	GCA007119305.1	216157	
GCA002686135	GCA002686135.1	220219	
GCF000974785	GCF000974785.1	223811	
GCA002308955	GCA002308955.1	217267	
GCF004000925	GCF004000925.1	168197	
GCF900129875	GCF900129875.1	227251	
GCF000376225	GCF000376225.1	227047	
GCF000306885	GCF000306885.1	191413	
GCA900553305	GCA900553305.1	228839	
GCA002729275	GCA002729275.1	169237	
GCA003553225	GCA003553225.1	216248	
GCA004356615	GCA004356615.1	204779	
GCF000981585	GCF000981585.1	190324	
GCA000817105	GCA000817105.1	148476	
GCF001486585	GCF001486585.1	199970	
GCF002101965	GCF002101965.1	177727	
GCA002937895	GCA002937895.1	232381	
GCA002347295	GCA002347295.1	178233	
GCF000381625	GCF000381625.1	221631	
GCF002835935	GCF002835935.1	212804	
GCF005280735	GCF005280735.1	228917	
GCA002720745	GCA002720745.1	228684	
GCF000225005	GCF000225005.1	232776	
GCF004168205	GCF004168205.1	158869	
GCA001464335	GCA001464335.1	228230	
GCA002345845	GCA002345845.1	223289	
GCA003533405	GCA003533405.1	210719	
GCA003245575	GCA003245575.1	220057	
GCA002718285	GCA002718285.1	216382	
GCA002403205	GCA002403205.1	188887	
GCA003531665	GCA003531665.1	153268	
GCA000993205	GCA000993205.1	218744	
